0.3_stalin_desc,650_stalin_desc,783_stalin_desc,455_stalin_desc,324_stalin_desc,414_stalin_desc,615_stalin_desc,253_stalin_desc,289_stalin_desc,222_stalin_desc,383_stalin_desc,512_stalin_desc,177_stalin_desc,72_stalin_desc,185_stalin_desc,81_stalin_desc,429_stalin_desc,746_stalin_desc,490_stalin_desc,410_stalin_desc,155_stalin_desc,174_stalin_desc
,601.0,742,383.0,256.0,,,,,115.0,306.0,438.0,,,116.0,,311.0,698.0,380.0,,,122.0
,599.0,741,382.0,255.0,,,,,115.0,305.0,438.0,,,115.0,,311.0,697.0,380.0,,,121.0
,599.0,740,382.0,255.0,,,,,111.0,305.0,438.0,,,114.0,,309.0,697.0,380.0,,,119.0
,598.0,739,382.0,255.0,,,,,109.0,305.0,438.0,,,114.0,,307.0,697.0,380.0,,,118.0
,598.0,738,382.0,255.0,,,,,109.0,305.0,438.0,,,114.0,,307.0,696.0,380.0,,,117.0
,598.0,736,382.0,254.0,,,,,107.0,304.0,437.0,,,114.0,,306.0,695.0,380.0,,,117.0
,598.0,736,382.0,253.0,,,,,107.0,303.0,437.0,,,114.0,,304.0,695.0,380.0,,,117.0
,598.0,736,381.0,252.0,,,,,107.0,303.0,437.0,,,,,302.0,695.0,380.0,,,116.0
,598.0,736,381.0,251.0,,,,,105.0,303.0,436.0,,,,,302.0,695.0,379.0,,,116.0
,597.0,736,380.0,250.0,,,,,103.0,303.0,434.0,,,,,301.0,695.0,379.0,,,116.0
,597.0,734,380.0,250.0,,,,,103.0,303.0,433.0,,,,,299.0,695.0,379.0,,,116.0
,594.0,733,378.0,250.0,,,,,103.0,303.0,432.0,,,,,298.0,694.0,378.0,,,116.0
,593.0,732,378.0,249.0,,,,,103.0,303.0,430.0,,,,,298.0,694.0,378.0,,,115.0
,593.0,731,377.0,249.0,,,,,101.0,301.0,430.0,,,,,297.0,694.0,378.0,,,115.0
,592.0,731,375.0,247.0,,,,,101.0,300.0,430.0,,,,,295.0,694.0,378.0,,,115.0
,592.0,730,374.0,245.0,,,,,101.0,299.0,429.0,,,,,294.0,694.0,378.0,,,
,591.0,730,373.0,245.0,,,,,101.0,299.0,429.0,,,,,293.0,692.0,378.0,,,
,591.0,729,372.0,245.0,,,,,101.0,299.0,429.0,,,,,293.0,692.0,378.0,,,
